screen,kind,n,detect_rate,block_rate,review_rate,pass_rate
perplexity_only,native,10,0.0,0.0,0.0,1.0
perplexity_only,mpnn_T=0.1,40,0.025,0.0,0.025,0.975
perplexity_only,mpnn_T=1.0,40,0.625,0.15,0.475,0.375
perplexity_only,mutated_40pct,10,0.9,0.7,0.2,0.1
perplexity_only,shuffled,10,1.0,0.9,0.1,0.0
perplexity_only,repeat_motif,10,0.0,0.0,0.0,1.0
complexity_only,native,10,0.0,0.0,0.0,1.0
complexity_only,mpnn_T=0.1,40,0.0,0.0,0.0,1.0
complexity_only,mpnn_T=1.0,40,0.0,0.0,0.0,1.0
complexity_only,mutated_40pct,10,0.0,0.0,0.0,1.0
complexity_only,shuffled,10,0.0,0.0,0.0,1.0
complexity_only,repeat_motif,10,1.0,1.0,0.0,0.0
or_gate,native,10,0.0,0.0,0.0,1.0
or_gate,mpnn_T=0.1,40,0.025,0.0,0.025,0.975
or_gate,mpnn_T=1.0,40,0.625,0.15,0.475,0.375
or_gate,mutated_40pct,10,0.9,0.7,0.2,0.1
or_gate,shuffled,10,1.0,0.9,0.1,0.0
or_gate,repeat_motif,10,1.0,1.0,0.0,0.0
