screen,prefix_frac,n,detect_rate,block_rate
complexity_only,0.0,30,0.0,0.0
complexity_only,0.1,30,0.0,0.0
complexity_only,0.25,30,0.0,0.0
complexity_only,0.4,30,0.0,0.0
complexity_only,0.5,30,0.0,0.0
complexity_only,0.6,30,0.0,0.0
complexity_only,0.75,30,0.0,0.0
complexity_only,0.9,30,0.0,0.0
complexity_only,1.0,30,0.0,0.0
or_gate,0.0,30,0.8666666666666667,0.26666666666666666
or_gate,0.1,30,0.7333333333333333,0.16666666666666666
or_gate,0.25,30,0.4666666666666667,0.06666666666666667
or_gate,0.4,30,0.36666666666666664,0.06666666666666667
or_gate,0.5,30,0.26666666666666666,0.0
or_gate,0.6,30,0.13333333333333333,0.0
or_gate,0.75,30,0.0,0.0
or_gate,0.9,30,0.0,0.0
or_gate,1.0,30,0.0,0.0
or_gate_v2,0.0,30,1.0,0.3333333333333333
or_gate_v2,0.1,30,0.9666666666666667,0.43333333333333335
or_gate_v2,0.25,30,0.9,0.3
or_gate_v2,0.4,30,0.8666666666666667,0.23333333333333334
or_gate_v2,0.5,30,0.7666666666666667,0.2
or_gate_v2,0.6,30,0.6,0.16666666666666666
or_gate_v2,0.75,30,0.26666666666666666,0.1
or_gate_v2,0.9,30,0.06666666666666667,0.0
or_gate_v2,1.0,30,0.0,0.0
or_gate_v3_tight,0.0,30,0.8666666666666667,0.13333333333333333
or_gate_v3_tight,0.1,30,0.7666666666666667,0.23333333333333334
or_gate_v3_tight,0.25,30,0.7,0.16666666666666666
or_gate_v3_tight,0.4,30,0.5666666666666667,0.2
or_gate_v3_tight,0.5,30,0.4,0.03333333333333333
or_gate_v3_tight,0.6,30,0.3,0.06666666666666667
or_gate_v3_tight,0.75,30,0.13333333333333333,0.03333333333333333
or_gate_v3_tight,0.9,30,0.0,0.0
or_gate_v3_tight,1.0,30,0.0,0.0
perplexity_only,0.0,30,0.7,0.26666666666666666
perplexity_only,0.1,30,0.7,0.16666666666666666
perplexity_only,0.25,30,0.4,0.06666666666666667
perplexity_only,0.4,30,0.26666666666666666,0.06666666666666667
perplexity_only,0.5,30,0.1,0.0
perplexity_only,0.6,30,0.03333333333333333,0.0
perplexity_only,0.75,30,0.0,0.0
perplexity_only,0.9,30,0.0,0.0
perplexity_only,1.0,30,0.0,0.0
sliding_window_perplexity,0.0,30,0.9333333333333333,0.3333333333333333
sliding_window_perplexity,0.1,30,0.8666666666666667,0.43333333333333335
sliding_window_perplexity,0.25,30,0.8333333333333334,0.3
sliding_window_perplexity,0.4,30,0.6666666666666666,0.23333333333333334
sliding_window_perplexity,0.5,30,0.5666666666666667,0.2
sliding_window_perplexity,0.6,30,0.4666666666666667,0.16666666666666666
sliding_window_perplexity,0.75,30,0.16666666666666666,0.1
sliding_window_perplexity,0.9,30,0.0,0.0
sliding_window_perplexity,1.0,30,0.0,0.0
sliding_window_perplexity_tight,0.0,30,0.8666666666666667,0.13333333333333333
sliding_window_perplexity_tight,0.1,30,0.7666666666666667,0.23333333333333334
sliding_window_perplexity_tight,0.25,30,0.7,0.16666666666666666
sliding_window_perplexity_tight,0.4,30,0.5666666666666667,0.2
sliding_window_perplexity_tight,0.5,30,0.4,0.03333333333333333
sliding_window_perplexity_tight,0.6,30,0.3,0.06666666666666667
sliding_window_perplexity_tight,0.75,30,0.13333333333333333,0.03333333333333333
sliding_window_perplexity_tight,0.9,30,0.0,0.0
sliding_window_perplexity_tight,1.0,30,0.0,0.0
