pdb,kind,sample_idx,len,perplexity,z_natural,is_high,complexity_mean,low_complexity_frac,distinct_3mer_frac,repetitiveness,ppl_runtime_s,commec_status,verdict,flags,mpnn_score,temperature,total_runtime_s,explanation
1UBQ,native,-1,76,1.78,-0.93,False,0.855,0.0,1.0,0.0,3.43,clear,PASS,,,,5.81,"PPL=1.78 (z=-0.93, within natural range); complexity ok (mean entropy 0.86, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,mpnn_T=0.1,1,76,3.62,-0.34,False,0.82,0.0,0.973,0.0,3.2,clear,PASS,,0.7958,0.1,5.38,"PPL=3.62 (z=-0.34, within natural range); complexity ok (mean entropy 0.82, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,mpnn_T=0.1,2,76,3.33,-0.44,False,0.779,0.0,0.919,0.0,3.21,clear,PASS,,0.7792,0.1,5.38,"PPL=3.33 (z=-0.44, within natural range); complexity ok (mean entropy 0.78, distinct-3mer=0.92, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,mpnn_T=0.1,3,76,3.98,-0.23,False,0.825,0.0,0.973,0.0,3.17,clear,PASS,,0.8284,0.1,5.35,"PPL=3.98 (z=-0.23, within natural range); complexity ok (mean entropy 0.82, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,mpnn_T=0.1,4,76,3.92,-0.24,False,0.821,0.0,0.973,0.0,3.16,clear,PASS,,0.8089,0.1,5.34,"PPL=3.92 (z=-0.24, within natural range); complexity ok (mean entropy 0.82, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,mpnn_T=1.0,1,76,9.76,1.64,False,0.859,0.0,1.0,0.0,3.17,clear,REVIEW,perplexity_high,1.9995,1.0,5.37,"PPL=9.76 (z=+1.64, p95=12.39); complexity ok (mean entropy 0.86, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,mpnn_T=1.0,2,76,8.38,1.2,False,0.84,0.0,1.0,0.0,3.17,clear,PASS,,1.8686,1.0,5.37,"PPL=8.38 (z=+1.20, within natural range); complexity ok (mean entropy 0.84, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,mpnn_T=1.0,3,76,8.09,1.1,False,0.825,0.0,0.986,0.0,3.17,clear,PASS,,1.7949,1.0,5.58,"PPL=8.09 (z=+1.10, within natural range); complexity ok (mean entropy 0.83, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,mpnn_T=1.0,4,76,7.78,1.0,False,0.837,0.0,0.973,0.0,3.18,clear,PASS,,1.728,1.0,5.37,"PPL=7.78 (z=+1.00, within natural range); complexity ok (mean entropy 0.84, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,mutated_40pct,-1,76,9.1,1.43,False,0.856,0.0,1.0,0.0,3.16,clear,PASS,,,,5.36,"PPL=9.10 (z=+1.43, within natural range); complexity ok (mean entropy 0.86, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UBQ,shuffled,-1,76,19.22,4.7,True,0.816,0.0,0.986,0.0,3.17,clear,BLOCK,perplexity_extreme,,,5.36,"PPL=19.22 (z=+4.70, ≥3σ from natural); complexity ok (mean entropy 0.82, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
